,EvaluationTime,Gender,RestaurantName,MenuName,Taste,Plating,AmbienceDate,AmbienceFamily,AmbienceAlone,AmbienceAlcohol,AmbienceFriend,Service,Cleanness,Cost
204,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
205,2023/11/21 7:58:11 오후 GMT+9,1,영남동,영남동,1,1,0,9,2,9,4,9,1,3
206,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
207,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
208,2023/11/21 7:58:11 오후 GMT+9,1,영남동,영남동,1,1,0,9,2,9,4,9,1,3
209,2023/11/21 7:58:11 오후 GMT+9,1,영남동,영남동,1,1,0,9,2,9,4,9,1,3
210,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
211,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
212,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
213,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
214,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
215,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
216,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
217,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
218,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
219,2023/11/23 7:14:26 오후 GMT+9,2,고기듬뿍대왕비빔밥,꿀갈비비빔밥,3,1,9,9,2,9,4,2,2,3
220,2023/11/20 8:59:22 오후 GMT+9,1,영대 학식,영대 돈까스,1,9,9,9,2,9,4,9,9,4
221,2023/11/21 11:27:00 오후 GMT+9,2,손시스시,손시스시A,2,1,0,1,2,9,4,1,2,2
222,2023/11/28 11:43:47 오후 GMT+9,1,오칠구,김치말이냉국수,1,9,9,9,9,9,4,1,9,4
223,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
224,2023/11/21 8:27:49 오후 GMT+9,2,유비칼국수,칼국수,3,1,9,1,9,3,4,1,1,4
225,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
226,2023/11/28 11:44:30 오후 GMT+9,1,장군찜닭,제육볶음,2,9,9,9,9,9,4,9,9,3
227,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
228,2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,9,9,9,9,9,4,9,9,3
